book_id,chap_num,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Author,Date,disp
12,1,-0.2146933637098088,0.19114321450837907,-0.206195124921893,-0.07135037347647709,-0.035321765701319965,0.15371754876044147,0.1473188027470534,-0.006518662147568854,0.0005907638165908516,-0.19111229583637734,M. F. Jamison,1912,1912 M. F. Jamison
12,2,-0.10279995551723708,0.15233941111553795,-0.030412745692159765,-0.027921778355049165,-0.10575079702888715,0.026135585378859544,0.048435406326373005,-0.04864908803102509,-0.0002745223333290572,-0.015575078748395942,M. F. Jamison,1912,1912 M. F. Jamison
12,3,-0.17417828414600287,0.16377361001892993,-0.112499697858399,-0.057951663791281874,-0.07344291738698148,0.13579532261852306,0.00990329496911077,-0.014094761926654603,-0.011318836172561134,-0.04699305018943466,M. F. Jamison,1912,1912 M. F. Jamison
12,4,-0.09357854195132081,-0.1700183861527728,0.04201661182952187,0.061722748482544325,0.05108717784128385,0.18849892576980756,0.1586347337893188,-0.02037435690510029,-0.14931377134863516,-0.07435067182904047,M. F. Jamison,1912,1912 M. F. Jamison
12,5,-0.0819499543738979,0.026908605898577236,-0.047984543328507615,0.0033771254459891518,-0.15257975296836548,0.08871706843013284,-0.1571696773374739,-0.022229389671936932,-0.026417939608794915,0.18646657410530243,M. F. Jamison,1912,1912 M. F. Jamison
12,6,0.06716636827703816,-0.018977602945572297,0.009032727674418959,-0.0579179908716548,0.06874114520260692,0.016966281170281705,0.05931676021936055,0.03322888401760143,0.04604103120751,0.0990391864770425,M. F. Jamison,1912,1912 M. F. Jamison
12,7,0.0038525490089367865,-0.28391856010274125,0.08118388518885383,-0.023244119220405784,0.019358728091413334,0.3135879318592051,-0.031527190115044325,0.08138665460992002,-0.22189568863491915,-0.11101915941557562,M. F. Jamison,1912,1912 M. F. Jamison
12,8,0.13277777796966958,-0.2570321618243712,0.08155040328257261,-0.028448172596061343,0.05591589278632806,0.3042320980197816,0.04474417282172009,0.11749118106666706,-0.2620844647117133,-0.08340090372544402,M. F. Jamison,1912,1912 M. F. Jamison
12,9,0.15974080195283122,-0.0844392369966136,0.01548358694228193,0.06978779048612266,0.031044688909567887,0.23477171508516265,0.13532139973189133,0.10614350777547377,-0.2599723766889942,0.09770946244993578,M. F. Jamison,1912,1912 M. F. Jamison
12,10,0.035077653977523306,-0.13333829404895842,0.08591573242478828,0.024042617368272907,0.12180015250383103,0.26292374926475215,0.10063626519919745,0.12826402142008816,-0.3204392666849189,0.015321393958885272,M. F. Jamison,1912,1912 M. F. Jamison
12,11,-0.03634686787104238,-0.19354578733571026,0.1103699482158606,0.017082675733958056,0.08673675681914786,0.26529770370201344,0.10659788474961811,0.10023053731892992,-0.34073803954533677,-0.026071109888986147,M. F. Jamison,1912,1912 M. F. Jamison
12,12,0.01439676845193379,-0.2105260257114998,0.05447750499184448,0.03463102264414282,0.04489379298170839,0.2906498983483567,0.10152498008111766,0.10002514316192099,-0.3256140307221413,-0.014077395169977292,M. F. Jamison,1912,1912 M. F. Jamison
12,13,0.045157385456827154,-0.19895247666305685,0.04205891513172292,0.03263035693855241,0.030615226933495776,0.31574435194001704,0.08082511171928589,0.11066182656816953,-0.24989368466901843,-0.024532366082186143,M. F. Jamison,1912,1912 M. F. Jamison
12,14,0.017065941560682994,-0.16033601385865415,0.06999050894121014,0.06282838688955263,-0.04366201941774302,0.28585055305898366,0.09836680552789905,0.09112621385862232,-0.10655117474632904,0.009149100588419968,M. F. Jamison,1912,1912 M. F. Jamison
12,15,-0.06449134611813254,-0.1829573555501158,0.11765336528139034,0.03380913481391968,0.06459945403049704,0.21145490225411095,0.0880140587010835,0.00748333937566982,-0.150819639036059,0.07970961693518837,M. F. Jamison,1912,1912 M. F. Jamison
12,16,0.005025578294410033,-0.2157767113232691,0.09800644315047513,0.004262569813123792,0.08080547737312814,0.2404062016096316,0.07543809205425075,0.0280213905126981,-0.23010378418714797,0.033592626401946935,M. F. Jamison,1912,1912 M. F. Jamison
12,17,0.19677639756786677,-0.2183227628556449,-0.028397955876010426,0.053100602844463794,0.01894271499727765,0.21682909275730125,0.09190878711615817,0.12746249862705716,-0.34554044869317746,-0.016702308098765675,M. F. Jamison,1912,1912 M. F. Jamison
12,18,0.1461622739620619,-0.16453625011229647,-0.04839048674426744,0.08325134486543871,-0.011753791416801588,0.13614603232159586,0.11881020586979851,0.10767556454884869,-0.295047704440055,0.058430253319839774,M. F. Jamison,1912,1912 M. F. Jamison
12,19,0.12090971155907751,-0.07504854402442022,0.0013786983659389738,-0.005251911539948067,-0.03383591091377946,0.1621883400241433,0.11691561403413435,0.06594286213388241,-0.18964447443252755,0.1570474147522506,M. F. Jamison,1912,1912 M. F. Jamison
12,20,0.16413169269774297,-0.036139460000555894,0.0028438509244444674,0.0006907727934845464,-0.06254370081785593,0.1691759828680945,0.12647843636772205,0.10025409610187445,-0.1493043088222741,0.1893394443931679,M. F. Jamison,1912,1912 M. F. Jamison
12,21,0.1478218483912947,-0.00023288397519242998,-0.014916180848674613,0.038001321186577314,-0.08046174242294733,0.12095917982594942,0.1310628526863729,0.10963848562713745,-0.14708095303809746,0.19610495112262882,M. F. Jamison,1912,1912 M. F. Jamison
12,22,0.15118663449258607,-0.018506739728908414,0.048424543314880664,0.0254621475099712,-0.09003057912424577,0.10292228840264628,0.1370260807956982,0.16327320902282713,-0.2072986981860218,0.14242446157856564,M. F. Jamison,1912,1912 M. F. Jamison
