term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos,df,idf,tfidf_mean,tfidf_sum,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,nrc_sentiment,syu_sentiment
kind,kind,783,226,0.0005271406758710949,10.889524360194251,0,NN,3,"{'NNP', 'VBN', 'NN'}",301,0.6490233726021393,0.00034416986140135467,0.1624481745814394,195.3560351532439,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
slave,slave,721,234,0.00048540029029764934,11.00853740824447,0,NN,5,"{'NNP', 'NN', 'VBP', 'VB', 'JJ'}",214,1.1411760629606942,0.0007326371824120503,0.3458047500984877,244.21167747358857,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.75
free,free,700,237,0.0004712624177647081,11.051181745652963,0,JJ,6,"{'NNP', 'NN', 'VBN', 'VBP', 'VB', 'JJ'}",246,0.9401285440226014,0.0004766604862898378,0.22498374952880343,231.27162182955993,,,,,,,,,,,,0.5
black,black,690,241,0.0004645300975109266,11.07194030581976,0,JJ,2,"{'NNP', 'JJ'}",239,0.9817762413810928,0.00043329901389915017,0.20451713456039888,234.64452169008118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.25
slavery,slaveri,680,244,0.000457797777257145,11.093001921347591,0,NN,7,"{'NNP', 'NN', 'VBN', 'VBP', 'VB', 'RB', 'JJ'}",193,1.2901860120937607,0.0006294769107105556,0.29711310185538226,249.00590033409583,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.75
received,receiv,665,247,0.0004476992968764727,11.12518232709674,0,VBD,4,"{'VBP', 'VBN', 'NNP', 'VBD'}",261,0.8547370527919568,0.0004008199217936529,0.1891870030866042,223.0863707787007,,,,,,,,,,,,0.6
enough,enough,624,258,0.00042009678383596837,11.216990638623043,0,RB,7,"{'NNP', 'NN', 'VBN', 'IN', 'VB', 'RB', 'JJ'}",277,0.7689008833126529,0.0003357143770851495,0.15845718598419056,212.98554467760488,,,,,,,,,,,,-0.25
spirit,spirit,581,268,0.0003911478067447077,11.319998504080763,0,NN,6,"{'NNP', 'NN', 'VBD', 'VBP', 'FW', 'JJ'}",206,1.1961425221786228,0.00044692433417309427,0.2109482857297005,246.4053595687963,,,,,,,,,,,,0.5
yes,yes,576,277,0.00038778164661781693,11.33246785604298,0,NNP,8,"{'NNS', 'NNP', 'NN', 'UH', 'VBZ', 'RB', 'JJ', 'CC'}",184,1.3590810933048283,0.00044770308179533584,0.21131585460739852,250.0709211680884,,,,,,,,,,,,0.8
true,true,560,285,0.00037700993421176647,11.373109840540327,0,JJ,6,"{'NNP', 'NN', 'LS', 'IN', 'RB', 'JJ'}",228,1.0497530351970998,0.00035636717183744777,0.16820530510727535,239.34369202493878,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
