topic_id,0,1,2,3,4,5,6,7,8,9,label,doc_weight_sum,term_freq,Amanda  Smith,Booker T. Washington,Emma J. Ray,Francis  Frederick,Henry Ossian Flipper,Israel  Campbell,J. R. Beard,James Lindsay Smith,Josiah  Henson,Kate  Drumgoold,M. F. Jamison,M. L. Latta,Martha Griffith Browne,Nicholas  Said,Peter  Randolph,Sam  Aleckson,Samuel Ringgold Ward,Thomas William Burton,William H. Heard,author
T00,school,work,people,man,time,men,students,money,race,institution,"T00 school, work, people, man, time, men, students, money, race, institution",45.05382787856687,0.09497111344988192,0.02262511428599668,0.43510950464822473,0.008524165419186032,0.012272212167517295,0.03408858185057048,0.038519898517570865,0.0017584421038346462,0.045911225551239304,0.058328252557401566,0.07863740276566066,0.05793985089107454,0.34551409966058333,0.0041994244896949705,0.010767752355082112,0.008060244439931084,0.02975746270567411,0.018387375946100272,0.43425375231055796,0.1672045838786638,Booker T. Washington
T01,crime,years,election,men,friends,bishops,work,bishop,life,time,"T01 crime, years, election, men, friends, bishops, work, bishop, life, time",13.1341516503705,0.0163940315450964,0.0010514662126967036,0.013424686323973973,0.00415429120707079,0.027911503745156097,0.004686658028751116,0.0026910431590398075,0.012597147282018384,9.240880237944099e-05,0.09285437599260697,0.00011036312231914612,0.18930364861636065,0.02748539003646318,0.002198829534597606,0.0001868677028460675,0.00024225248393707508,0.0002949062509891726,0.006813373682133501,0.00020474752580759044,0.02549629618833101,M. F. Jamison
T02,men,blacks,island,color,whites,liberty,soldiers,sea,hands,country,"T02 men, blacks, island, color, whites, liberty, soldiers, sea, hands, country",8.882162837057384,0.026747139276654678,0.0005266116123685614,0.00037178354346539214,0.0010234720269197025,0.006263790217809752,0.00010850635712270022,0.0008674394563852301,0.3002629332401868,0.0034398512178360472,0.0002152001828977602,0.00011036312367634846,0.0036370527601863167,0.0032778107289418387,0.0015725414521667598,0.00018686770262719065,0.005335133193029303,0.0002949062519404469,0.03167148921660532,0.00020474752528326984,0.00037367092676277014,J. R. Beard
T03,mother,slave,heart,children,blood,men,world,ye,soul,jury,"T03 mother, slave, heart, children, blood, men, world, ye, soul, jury",4.265827361713283,0.005530005541342818,7.757199652539248e-05,8.666477062345968e-05,0.01711719598115532,0.00034337991658023597,0.00010850635631270256,0.00026669988697987075,7.93572108552498e-05,9.240880180097544e-05,0.00021520018222754908,0.00011036312280136074,0.00012376393758040216,0.0013426757203830531,0.017536476738327027,0.00018686770172833672,0.10826668327802852,0.00029490625064763193,0.00011374658899589332,0.00020474752597003507,0.0003736709281708658,Peter  Randolph
T04,church,people,time,man,pastor,preacher,day,men,work,dollars,"T04 church, people, time, man, pastor, preacher, day, men, work, dollars",25.733792536256548,0.059659245912607184,0.04769891296862499,0.004757821149977031,0.12799922869448901,0.0003433799202224745,0.0020722458296673703,0.0689909381406553,0.0007879946155472254,0.027794711175857915,0.015026976762028646,0.00011036312273139278,0.4000072404698165,0.013313652710048553,0.0014924046100986705,0.00018686770303510034,0.1097372542056795,0.01007867744698492,0.015715344509919158,0.025264103077887734,0.1806940601511322,M. F. Jamison
T05,people,race,city,man,country,condition,races,color,cause,men,"T05 people, race, city, man, country, condition, races, color, cause, men",13.655492423921633,0.02189111676624183,0.0017713556105249202,0.004957114772385846,0.007845899653395532,0.07995998632813417,0.00031531599884528663,0.005195597143436827,7.935721132573738e-05,0.004669046156631348,0.00021520018253617725,0.04309622879929766,0.0459136561927475,0.28586534125507007,0.0005860626872609223,0.011266403620569227,0.03913348432961946,0.005555054377657044,0.004286685676011432,0.011989043230602087,0.020188147446783312,M. L. Latta
T06,master,time,plantation,children,house,work,men,home,heart,day,"T06 master, time, plantation, children, house, work, men, home, heart, day",5.888823531018156,0.009138642153808288,7.757199660796046e-05,0.0003773437874090489,0.01926863424709525,0.016168579247567413,0.013694086121340151,0.006093275618186478,0.0007156231206054182,0.044884992976881595,0.03462318671309167,0.016351642831778597,0.0001237639378790358,0.0004431551230891633,0.0033052793991951083,0.009122020502199854,0.010321550693753671,0.055419798579683655,0.0017753392018151426,0.0002047475266206458,0.023147463293214647,Sam  Aleckson
T07,cadets,cadet,class,time,day,course,guard,officers,officer,thing,"T07 cadets, cadet, class, time, day, course, guard, officers, officer, thing",16.91702505639441,0.06350077163399656,7.757199684457275e-05,0.003405824161865538,0.001476726467491521,0.0003433799185705902,0.8314627692347903,0.004699967905768193,0.0013732519040244443,0.02626836872226462,0.010467275748504399,0.00011036312219064718,0.0001237639382619888,0.0019070009425232633,0.010750063699005084,0.020776293516400073,0.0035288005963735533,0.01726740739247231,0.028174865137214913,0.041029088803594,0.00037367092874506967,Henry Ossian Flipper
T08,time,people,meeting,home,day,heart,morning,night,way,work,"T08 time, people, meeting, home, day, heart, morning, night, way, work",47.50347452407835,0.10981678749051853,0.6548704575689054,0.005895507735673715,0.3085336053581804,0.07914601732389052,0.003961019544307673,0.04529499417454671,7.935721112002551e-05,0.08337575280450472,0.029504183846974532,0.5034495490742775,0.00012376393877704245,0.02312059374991257,0.03585965792324763,0.007417448702007321,0.0014530250717225725,0.020583193549709736,0.007330290685541731,0.06524030946571598,0.07320320727656257,Amanda  Smith
T09,slavery,man,slaves,brother,slave,law,freedom,men,cause,day,"T09 slavery, man, slaves, brother, slave, law, freedom, men, cause, day",18.921710006589105,0.03263524003866184,0.003564789995166894,0.0006402342981329561,0.0007215501278810766,0.00034337991916489935,0.00010850635751055394,0.06627229466751634,0.005819393573190871,0.004003377151288371,0.11502360748916139,0.00011036312263911523,0.00012376393830678425,0.004143597431533079,0.012924358797033202,0.005035814923300491,0.06539467639586846,0.05637737517306053,0.2432689491872765,0.00020474752623343334,0.000373670928876504,Samuel Ringgold Ward
